   PID TTY      STAT   TIME COMMAND
     1 ?        Ss     0:01 /sbin/init
     2 ?        S      0:00 [kthreadd]
     3 ?        S      0:06 [ksoftirqd/0]
     5 ?        S<     0:00 [kworker/0:0H]
     7 ?        S      0:29 [rcu_sched]
     8 ?        S      0:00 [rcu_bh]
     9 ?        S      0:00 [migration/0]
    10 ?        S      0:00 [watchdog/0]
    11 ?        S      0:00 [kdevtmpfs]
    12 ?        S<     0:00 [netns]
    13 ?        S<     0:00 [perf]
    14 ?        S      0:00 [khungtaskd]
    15 ?        S<     0:00 [writeback]
    16 ?        SN     0:00 [ksmd]
    17 ?        SN     0:00 [khugepaged]
    18 ?        S<     0:00 [crypto]
    19 ?        S<     0:00 [kintegrityd]
    20 ?        S<     0:00 [bioset]
    21 ?        S<     0:00 [kblockd]
    22 ?        S<     0:00 [ata_sff]
    23 ?        S<     0:00 [md]
    24 ?        S<     0:00 [devfreq_wq]
    28 ?        S      0:00 [kswapd0]
    29 ?        S<     0:00 [vmstat]
    30 ?        S      0:00 [fsnotify_mark]
    31 ?        S      0:00 [ecryptfs-kthrea]
    47 ?        S<     0:00 [kthrotld]
    48 ?        S<     0:00 [acpi_thermal_pm]
    49 ?        S<     0:00 [bioset]
    50 ?        S<     0:00 [bioset]
    51 ?        S<     0:00 [bioset]
    52 ?        S<     0:00 [bioset]
    53 ?        S<     0:00 [bioset]
    54 ?        S<     0:00 [bioset]
    55 ?        S<     0:00 [bioset]
    56 ?        S<     0:00 [bioset]
    57 ?        S      0:00 [scsi_eh_0]
    58 ?        S<     0:00 [scsi_tmf_0]
    59 ?        S      0:00 [scsi_eh_1]
    60 ?        S<     0:00 [scsi_tmf_1]
    66 ?        S<     0:00 [ipv6_addrconf]
    80 ?        S<     0:00 [deferwq]
    81 ?        S<     0:00 [charger_manager]
   137 ?        S<     0:00 [mpt_poll_0]
   138 ?        S<     0:00 [mpt/0]
   139 ?        S<     0:00 [kpsmoused]
   140 ?        S      0:00 [scsi_eh_2]
   141 ?        S<     0:00 [scsi_tmf_2]
   142 ?        S      0:00 [scsi_eh_3]
   143 ?        S<     0:00 [scsi_tmf_3]
   144 ?        S      0:00 [scsi_eh_4]
   145 ?        S<     0:00 [scsi_tmf_4]
   146 ?        S      0:00 [scsi_eh_5]
   147 ?        S<     0:00 [scsi_tmf_5]
   148 ?        S      0:00 [scsi_eh_6]
   149 ?        S<     0:00 [scsi_tmf_6]
   150 ?        S      0:00 [scsi_eh_7]
   151 ?        S<     0:00 [scsi_tmf_7]
   152 ?        S      0:00 [scsi_eh_8]
   153 ?        S<     0:00 [scsi_tmf_8]
   154 ?        S      0:00 [scsi_eh_9]
   155 ?        S<     0:00 [scsi_tmf_9]
   156 ?        S      0:00 [scsi_eh_10]
   157 ?        S<     0:00 [scsi_tmf_10]
   158 ?        S      0:00 [scsi_eh_11]
   159 ?        S<     0:00 [scsi_tmf_11]
   160 ?        S      0:00 [scsi_eh_12]
   161 ?        S<     0:00 [scsi_tmf_12]
   162 ?        S      0:00 [scsi_eh_13]
   163 ?        S<     0:00 [scsi_tmf_13]
   164 ?        S      0:00 [scsi_eh_14]
